TD_ID,STEPTYPE,FROMBERTH,TOBERTH,STANOX,PASSINGOFFSET,STOPPINGOFFSET
UR,B,1053,R354,51001,0,1
UR,B,1053,R592,51001,10,11
UR,B,1053,R596,51001,11,12
UR,B,1055,R354,51001,12,13
UR,B,1055,R592,51001,13,14
UR,B,1055,R596,51001,14,15
UR,B,353,R354,51001,15,16
UR,B,353,R592,51001,16,17
UR,B,353,R596,51001,17,18
UR,B,591,R354,51001,18,19
UR,B,591,R592,51001,19,20
UR,B,591,R596,51001,20,21
UR,B,A354,352,51001,21,22
UR,B,A354,586,51001,22,23
UR,B,A354,SBCE,51001,23,24
UR,B,A592,352,51001,24,25
UR,B,A592,586,51001,25,26
UR,B,A592,SBCE,51001,26,27
UR,B,A596,352,51001,27,28
UR,B,A596,586,51001,28,29
UR,B,A596,SBCE,51001,29,30
UR,B,343,345,51004,30,31
UR,B,344,342,51004,31,32
UR,B,345,349,51004,32,33
UR,B,348,344,51004,33,34
UR,B,337,339,51005,34,35
UR,B,338,336,51005,35,36
UR,B,339,341,51005,36,37
UR,B,340,338,51005,37,38
UR,B,327,331,51007,38,39
UR,B,327,583,51007,39,40
UR,B,327,R576,51007,40,41
UR,B,327,R582,51007,41,42
UR,B,330,326,51007,42,43
UR,B,330,572,51007,43,44
UR,B,331,335,51007,44,45
UR,B,334,330,51007,45,46
UR,B,575,583,51007,46,47
UR,B,575,R576,51007,47,48
UR,B,578,326,51007,48,49
UR,B,578,572,51007,49,50
UR,B,583,335,51007,50,51
UR,B,583,587,51007,51,52
UR,B,586,330,51007,52,53
UR,B,586,578,51007,53,54
UR,B,A576,326,51007,54,55
UR,B,A576,572,51007,55,56
UR,B,A582,326,51007,56,57
UR,B,A582,572,51007,57,58
UR,B,319,323,51009,58,59
UR,B,320,318,51009,59,60
UR,B,323,325,51009,60,61
UR,B,324,320,51009,61,62
UR,B,303,305,51013,62,63
UR,B,303,569,51013,63,64
UR,B,304,302,51013,64,65
